x,y
3354,84
3356,82
3356,81
3358,79
3358,78
3359,77
3359,76
3360,75
3360,74
3361,73
3362,73
3363,72
3364,72
3371,65
3371,64
3372,63
3372,62
3374,60
3374,59
3376,57
3377,57
3378,56
3378,55
3380,53
3380,52
3381,51
3381,50
3383,48
3390,48
3391,47
3398,47
3399,46
3401,46
3402,45
3403,45
3405,43
3407,43
3408,42
3409,42
3410,41
3411,41
3412,40
3413,40
3414,39
3415,39
3418,36
3418,35
3417,34
3417,32
3416,31
3416,27
3415,26
3416,25
3417,25
3417,24
3420,21
3421,21
3423,19
3425,19
3426,18
3427,18
3428,17
3430,17
3431,16
3433,16
3434,15
3437,15
3438,14
3440,14
3441,13
3444,13
3445,12
3447,12
3448,11
3451,11
3452,10
3455,10
3456,9
3458,9
3459,8
3460,8
3461,7
3462,7
3463,6
3464,6
3468,2
3469,2
3469,0
2383,877
2384,876
2389,876
2390,877
2401,877
2402,876
2405,876
2406,877
2410,877
2411,876
2436,876
2437,877
2437,879
2435,881
2434,881
2433,882
2430,882
2429,881
2428,882
2418,882
2417,883
2410,883
2409,884
2407,884
2406,885
2404,885
2403,884
2396,884
2395,883
2392,883
2391,884
2390,884
2388,886
2385,886
2384,885
2383,885
2382,886
2377,886
2376,885
2369,885
2367,883
2365,883
2364,882
2363,883
2362,883
2362,884
2361,885
2359,885
2358,884
2359,883
2359,882
2360,881
2360,880
2361,879
2362,879
2363,878
2371,878
2372,877
2447,874
2448,873
2451,873
2452,874
2456,874
2457,875
2456,876
2455,876
2454,877
2453,877
2452,878
2450,878
2449,879
2442,879
2441,878
2440,878
2439,877
2437,877
2436,876
2436,875
2437,874
